id,name,category,description,target_gender,health_goal,age_range,weight_range
12,N-Acetyl Cysteine 600mg,Amino acid,"chronic phlegm cough, recurrent bronchitis, fatty liver, liver detox, respiratory support, smoking addiction, paracetamol damage, allergic sinusitis",Adult,"Respiratory support, Liver detox, Expectorant, Antioxidant",18-70,45-90
13,Rhodiola Rosea Extract,Herbal,"mild depression fatigue, prolonged stress, neurasthenia, reduced work performance, burnout exhaustion, poor altitude adaptation, stressful studying",Adult,"Boost energy, Reduce stress, Improve mood, Focus",20-60,45-85
14,L-Theanine 200mg,Amino acid,"stress anxiety, insomnia due to overthinking, palpitations, difficulty focusing, work stress, unexplained irritability, stress-induced high blood pressure",All,"Natural relaxation, Increase focus, Reduce anxiety, Good sleep",18-65,40-85
15,Iron Bisglycinate 25mg,Mineral,"pale skin anemia, sluggish fatigue, dizziness, heavy hair loss, pregnancy iron deficiency, heavy menstruation, vegetarian iron deficiency, brittle nails",Female,"Blood tonifying, Boost energy, Reduce hair loss, Rosy skin",15-50,40-75
16,Vitamin B-Complex Complete,Vitamin,"stress fatigue, severe lack of energy, dull skin hair loss, vitamin B deficiency, neurasthenia, loss of appetite, poor digestion, numbness in limbs",All,"Boost energy, Improve nerve function, Beautify skin and hair, Support digestion",18-70,45-95
17,Calcium Citrate + Magnesium,Mineral,"osteoporosis back pain, calf cramps, loose weak teeth, calcium deficiency, menopausal women, elderly, post-trauma bone fracture",Adult,"Strong bones, Healthy teeth, Reduce cramps, Prevent osteoporosis",40-85,45-90
18,Ginkgo Biloba Extract 120mg,Herbal,"short-term memory loss, forgetfulness, lack of study focus, ringing in ears, poor brain circulation, dizziness, early Alzheimer's, dementia",Adult,"Improve memory, Increase brain circulation, Reduce tinnitus, Focus",40-80,50-95
19,5-HTP 100mg,Amino acid,"mild depression, anxiety insomnia, migraine, binge eating, emotional disorders, severe PMS, fibromyalgia, chronic fatigue syndrome",Adult,"Improve mood, Reduce appetite, Good sleep, Reduce headache",20-65,45-85
20,Quercetin 500mg,Flavonoid,"pollen allergy, allergic rhinitis, rheumatoid arthritis, asthma, natural anti-inflammatory, strong antioxidant, frequent colds, post-COVID sequelae",All,"Anti-allergy, Anti-inflammatory, Boost immunity, Antioxidant",18-75,40-90
21,DHA 1000mg from Algae,Omega-3,"child brain development, blurred dry eyes, pregnant women, breastfeeding, memory for studying, child ADHD, macular degeneration, chronic dry eye",All,"Brain development, Bright eyes, Healthy pregnancy",0-80,3-100
22,Glucosamine Sulfate 1500mg,Joints,"knee osteoarthritis, spinal back pain, joint degeneration, athletes, gym-goers, cracking joints, morning joint stiffness",Adult,"Reduce joint pain, Regenerate cartilage, Flexible movement",30-85,50-100
23,Saw Palmetto 320mg,Herbal,"frequent nocturia, incomplete urination, enlarged prostate, male hair loss, low testosterone, decreased libido, thinning hair baldness",Male,"Prostate support, Reduce hair loss, Hormone balance",40-75,55-100
24,Maca Root 1000mg,Herbal,"low libido, weak physiology, chronic fatigue, hormone imbalance, menopause discomfort, poor fertility, lack of sexual energy",Adult,"Increase libido, Hormone balance, Boost energy, Fertility support",25-65,45-85
25,Spirulina Organic 1000mg,Superfood,"malnutrition, deficient vegetarian diet, body detox, anemia, weak immune system, dull skin, prolonged fatigue, recovery after illness",All,"Supplement nutrition, Boost immunity, Body detox, Beautify skin",12-80,35-95
26,Evening Primrose Oil 1300mg,Plant oil,"severe PMS, menstrual cramps, vaginal dryness, rheumatoid arthritis, skin eczema, hormonal acne, menopausal hot flashes",Female,"Endocrine balance, Reduce PMS, Beautify skin, Reduce inflammation",15-65,40-80
27,Chlorophyll Liquid 100ml,Detox,"bad breath, body odor, heavy metal detox, constipation, acne skin, smelly breath, toxic liver, body odor",All,"Body detox, Reduce odor, Liver detox, Improve digestion",18-70,45-90
28,Milk Thistle 1000mg,Liver protection,"fatty liver, high liver enzymes, drinking alcohol, hepatitis, liver detox, drug poisoning, jaundice, liver-related fatigue",Adult,"Protect liver, Lower liver enzymes, Detox, Regenerate liver cells",20-75,45-95
29,Turmeric 95% Curcumin,Anti-inflammatory,"arthritis, full body aches, stomach inflammation, post-workout anti-inflammatory, osteoarthritis, fibromyalgia, IBD enteritis",Adult,"Strong anti-inflammatory, Pain relief, Antioxidant, Protect digestion",25-80,45-100
30,Valerian Root 1000mg,Herbal,"chronic insomnia, anxiety, stress, restlessness, difficulty relaxing, restless leg syndrome, stress-induced muscle tension",Adult,"Natural sedative, Reduce anxiety, Good sleep, Muscle relaxation",20-70,45-90
31,Magnesium Calm,Mineral,"muscle cramps, stress, migraines, poor sleep, fatigue, nervous tension, irregular heartbeat sensation",All,"Relax muscles, Improve sleep, Reduce stress",18-70,40-100
32,Brain Focus Pro,Supplement,"poor concentration, memory decline, brain fog, study stress, mental fatigue, lack of focus",All,"Improve focus, Enhance memory, Mental performance",16-60,40-95
33,Diabetes Support Formula,Supplement,"high blood sugar, insulin resistance, fatigue after meals, excessive thirst, frequent urination",All,"Support blood sugar balance, Increase energy",35-75,50-110
34,Green Tea Extract,Herbal,"slow metabolism, weight gain, low energy, toxin buildup, bloating, unhealthy eating habits",All,"Weight management, Detox support, Antioxidant",18-55,45-100
35,Prenatal Mama Care,Vitamin,"pregnancy fatigue, iron deficiency, morning sickness, nutritional deficiency during pregnancy",Female,"Support pregnancy, Fetal development, Boost nutrition",20-40,45-95
36,Senior Vitality Plus,Supplement,"aging weakness, joint discomfort, memory decline, reduced mobility, low appetite, chronic fatigue",All,"Healthy aging, Joint support, Improve vitality",55-90,45-100
37,Immune Defense Zinc,Mineral,"frequent infections, low immunity, slow wound healing, loss of appetite, skin inflammation",All,"Boost immunity, Skin recovery, Improve resistance",12-70,35-95
38,Kids Brain DHA,Supplement,"slow learning, poor concentration, low memory retention, developmental support needs",All,"Brain development, Improve focus, Support learning",4-14,15-55
39,Detox Fiber Cleanse,Fiber Supplement,"constipation, bloating, toxin buildup, irregular bowel movements, digestive discomfort",All,"Improve digestion, Colon cleanse, Gut health",18-65,45-110
40,Men Prostate Support,Herbal,"frequent urination, weak urine flow, prostate discomfort, nighttime urination, aging male health concerns",Male,"Support prostate health, Improve urinary function",45-80,50-105
41,Women Iron Balance,Vitamin,"iron deficiency, fatigue during menstruation, pale skin, dizziness, weakness",Female,"Increase iron levels, Reduce fatigue, Women's wellness",18-50,40-85
42,Turmeric Curcumin Plus,Herbal,"joint inflammation, chronic pain, muscle soreness, stiffness, inflammatory discomfort",All,"Reduce inflammation, Joint care, Antioxidant",25-80,45-110
43,Metabolism Burner X,Supplement,"slow metabolism, excess body fat, low workout performance, low calorie burn",All,"Boost metabolism, Support fitness, Weight control",18-45,50-120
44,Respiratory Relief Herbal,Herbal,"chronic cough, weak lungs, seasonal allergies, breathing discomfort, pollution exposure",All,"Support lungs, Improve breathing, Allergy relief",18-75,40-100
45,Gut Enzyme Complex,Digestive Enzyme,"indigestion, bloating after meals, poor nutrient absorption, stomach heaviness",All,"Digestive support, Better absorption, Gut comfort",16-70,40-100
46,Anti Stress Ashwagandha,Herbal,"stress, anxiety, burnout, fatigue, poor sleep, emotional imbalance",All,"Reduce stress, Improve energy, Mental wellness",18-65,45-100
47,Bone Shield Kids,Vitamin,"weak bones, slow growth, calcium deficiency, vitamin D deficiency in children",All,"Bone growth, Strengthen teeth, Child development",3-15,12-50
48,Cardio Omega Balance,Supplement,"high triglycerides, heart stress, poor circulation, low cardiovascular endurance",All,"Heart protection, Improve circulation, Support endurance",30-75,50-110
49,Skin Glow Hyaluronic,Beauty Supplement,"dry skin, skin dehydration, wrinkles, rough texture, dull appearance",Female,"Hydrate skin, Anti-aging, Improve elasticity",20-60,40-90
50,Energy B12 Complex,Vitamin,"chronic tiredness, low vitamin B12, weakness, low stamina, poor concentration",All,"Boost energy, Nervous system support, Reduce fatigue",18-70,40-100
51,Lung Detox Herbal,Herbal,"chronic cough, smokers cough, chest discomfort, shortness of breath after light activity, exposure to pollution, mucus buildup, throat irritation, weak respiratory function during seasonal changes",All,"Support lung detox, Improve breathing, Reduce throat irritation, Respiratory wellness",20-75,45-110
52,Night Recovery Melatonin,Sleep Aid,"difficulty falling asleep, waking up multiple times at night, jet lag, stress-related insomnia, poor sleep quality, daytime fatigue caused by lack of sleep, restless mind before bedtime",Adult,"Improve sleep quality, Faster sleep onset, Relax nervous system, Night recovery",18-70,40-100
53,Advanced Liver Guard,Herbal,"fatty liver symptoms, frequent alcohol consumption, elevated liver stress, digestive discomfort after oily meals, acne caused by internal heat, bitter taste in mouth, chronic fatigue related to liver overload",All,"Protect liver function, Support detoxification, Improve digestion, Reduce internal heat",25-70,50-110
54,Memory Sharp 50+,Supplement,"age-related memory decline, forgetfulness, difficulty concentrating, mental fatigue, slower thinking speed, reduced focus while reading or working, brain fog in older adults",All,"Enhance memory, Support brain health, Improve concentration, Healthy aging",50-85,45-100
55,Women Beauty Balance,Beauty Supplement,"hormonal acne, dull skin tone, dry skin, brittle nails, hair thinning, skin aging due to stress, uneven complexion, reduced collagen production",Female,"Hormone balance, Improve skin glow, Strengthen hair and nails, Anti-aging support",18-45,40-85
56,Joint Mobility Advanced,Supplement,"joint stiffness in the morning, knee discomfort when walking, cartilage degeneration, inflammation after exercise, reduced flexibility, cracking joints, discomfort from aging joints",All,"Improve joint flexibility, Support cartilage, Reduce stiffness, Active mobility",35-85,50-120
57,Complete Immune Shield,Vitamin,"frequent colds, weak immune defense, low resistance during seasonal weather changes, slow recovery after illness, chronic fatigue, low vitamin intake, stress-weakened immunity",All,"Strengthen immunity, Increase resistance, Support recovery, Daily wellness",12-75,35-100
58,Healthy Gut Probiotic 50B,Probiotic,"chronic bloating, constipation, irregular bowel movements, diarrhea after meals, stomach discomfort, poor digestion caused by stress, imbalance of gut bacteria after antibiotics",All,"Balance gut flora, Improve digestion, Reduce bloating, Support immune health",15-75,40-105
59,Iron Energy Women+,Vitamin,"heavy menstrual fatigue, iron deficiency anemia, pale skin, dizziness when standing, low blood circulation, chronic tiredness, weakness after childbirth",Female,"Boost iron levels, Increase energy, Support blood health, Reduce dizziness",18-50,40-90
60,Kids Growth Nutrition,Supplement,"poor appetite, slow physical development, low weight for age, weak immunity, lack of essential nutrients, low energy during school activities, picky eating habits",All,"Support healthy growth, Improve appetite, Boost immunity, Daily nutrition",4-16,14-60
61,Heart Rhythm Support,Supplement,"irregular heartbeat sensation, cardiovascular fatigue, high stress levels, poor blood circulation, low endurance during exercise, mild blood pressure imbalance",All,"Support heart rhythm, Improve circulation, Cardiovascular wellness, Increase endurance",35-80,50-110
62,Vision Protect Lutein,Vitamin,"eye strain from screens, blurred vision at night, dry eyes, sensitivity to bright light, tired eyes after long work hours, reduced visual sharpness with age",All,"Protect eyesight, Reduce eye fatigue, Eye nutrition support, Vision wellness",16-75,40-100
63,Men Testosterone Boost,Supplement,"low stamina, reduced physical performance, low motivation, muscle weakness, stress-related fatigue, reduced energy with aging, slower workout recovery",Male,"Boost vitality, Improve stamina, Muscle support, Male wellness",21-60,55-120
64,Daily Stress Relief Gummies,Supplement,"daily stress, emotional tension, anxiety from work or study, difficulty relaxing, irritability, mental fatigue, trouble maintaining calm focus",All,"Reduce stress, Promote relaxation, Emotional wellness, Calm mind support",14-60,35-95
65,Bone Density Care,Mineral,"low bone density, osteoporosis risk, weak teeth, bone pain, vitamin D deficiency, aging-related bone weakness, increased fracture concern",All,"Strengthen bones, Support calcium absorption, Improve bone density, Healthy aging",35-85,45-110
66,Detox Slim Herbal Tea,Herbal,"water retention, bloating, slow metabolism, digestive heaviness, unhealthy eating habits, mild weight gain, feeling sluggish after meals",All,"Natural detox, Support metabolism, Reduce bloating, Weight management",18-55,45-100
67,Hair Recovery Biotin+,Vitamin,"excessive hair shedding, weak hair roots, slow hair growth, brittle nails, dry scalp, hair thinning caused by stress or nutritional deficiency",All,"Promote hair growth, Strengthen nails, Improve scalp health, Beauty support",18-50,40-95
68,Senior Brain & Heart Care,Supplement,"aging-related forgetfulness, reduced cardiovascular endurance, mental fatigue, slower reaction time, low energy in seniors, circulation weakness",All,"Support brain and heart health, Healthy aging, Improve vitality, Cognitive support",55-90,45-100
69,Muscle Recovery Whey,Protein Supplement,"muscle soreness after workouts, slow muscle recovery, low protein intake, fatigue during exercise, difficulty building lean muscle mass",All,"Muscle recovery, Improve strength, Support fitness goals, Increase protein intake",18-45,50-130
70,Calm Digest Herbal,Herbal,"stomach discomfort caused by stress, indigestion, nausea after meals, bloating, irregular digestion, mild acid reflux symptoms, sensitive stomach",All,"Soothe digestion, Reduce bloating, Improve stomach comfort, Digestive wellness",18-70,40-100
71,Ultra Digest Enzyme,Digestive Support,"chronic indigestion, stomach heaviness after meals, bloating, gas buildup, difficulty digesting oily foods, slow digestion, discomfort after overeating",All,"Improve digestion, Reduce bloating, Better nutrient absorption, Stomach comfort",18-70,40-110
72,Gut Restore Probiotic,Digestive Support,"imbalanced gut flora, diarrhea after antibiotics, constipation, abdominal discomfort, irregular bowel movements, weak digestion caused by stress",All,"Balance gut bacteria, Improve bowel health, Support digestion, Strengthen immunity",15-75,40-100
73,Stomach Calm Herbal,Digestive Support,"sensitive stomach, mild acid reflux, nausea after eating, stress-related stomach discomfort, frequent bloating, digestive irritation",All,"Soothe stomach, Reduce nausea, Digestive wellness, Improve comfort after meals",18-65,40-95
74,Deep Sleep Melatonin,Better Sleep,"difficulty falling asleep, waking during the night, poor sleep quality, stress-related insomnia, jet lag, daytime tiredness from lack of rest",Adult,"Improve sleep quality, Faster sleep onset, Relax body and mind, Night recovery",18-75,40-100
75,Herbal Night Relax,Better Sleep,"restlessness before bedtime, anxiety at night, racing thoughts, muscle tension, light sleeping, interrupted sleep patterns",All,"Promote relaxation, Better sleep, Reduce nighttime stress, Calm nervous system",20-70,45-100
76,Magnesium Sleep Restore,Better Sleep,"muscle cramps at night, stress-induced insomnia, restless sleep, fatigue after waking up, nervous tension, poor recovery during sleep",All,"Muscle relaxation, Deep sleep support, Reduce fatigue, Nervous system support",18-70,40-110
77,Calm Mind Ashwagandha,Stress Relief,"chronic stress, burnout, anxiety from work or study, emotional fatigue, irritability, low mental energy, difficulty relaxing",All,"Reduce stress, Improve mood, Emotional balance, Mental wellness",18-65,45-100
78,Relax Gummies Plus,Stress Relief,"daily tension, nervousness, restlessness, emotional instability, difficulty staying calm under pressure, mental exhaustion",All,"Promote calmness, Reduce anxiety, Stress management, Relaxation support",14-60,35-95
79,Mental Balance Support,Stress Relief,"stress-related headaches, fatigue from overthinking, poor focus under pressure, mood swings, mental burnout, low motivation",All,"Mental relaxation, Improve focus, Emotional wellness, Stress recovery",18-60,40-100
80,Daily Multivitamin Complete,Dietary Supplements,"low energy, nutrient deficiency, weak immunity, unhealthy eating habits, chronic tiredness, lack of vitamins from daily meals",All,"Daily nutrition support, Boost immunity, Improve energy, General wellness",15-75,35-110
81,Omega 3 Wellness,Dietary Supplements,"poor concentration, dry eyes, heart fatigue, high stress levels, memory decline, low intake of healthy fats",All,"Brain support, Heart health, Eye care, Improve concentration",20-75,45-110
82,Vitamin D3 Strong Bones,Dietary Supplements,"vitamin D deficiency, weak bones, low sunlight exposure, muscle weakness, osteoporosis risk, bone discomfort with aging",All,"Strengthen bones, Support immunity, Improve calcium absorption, Healthy aging",18-85,40-110
83,Smart Blood Pressure Monitor,Medical Devices,"frequent blood pressure fluctuations, dizziness, heart health monitoring needs, hypertension management, home health tracking",All,"Monitor blood pressure, Support heart health awareness, Daily health tracking",30-85,45-120
84,Portable Nebulizer AirCare,Medical Devices,"asthma symptoms, breathing discomfort, seasonal allergies, chronic cough, respiratory weakness, home respiratory therapy support",All,"Support respiratory care, Improve breathing comfort, Easy inhalation therapy",5-85,15-110
85,Digital Thermometer Pro,Medical Devices,"body temperature monitoring, fever tracking, infection symptom checks, child and adult home healthcare needs",All,"Accurate temperature monitoring, Family health management, Fever detection",0-90,3-120
86,Advanced Colon Cleanse,Digestive Support,"chronic constipation, toxin buildup, bloating after meals, sluggish digestion, irregular bowel habits, abdominal heaviness",All,"Colon cleanse, Improve digestion, Reduce bloating, Gut detox support",18-70,45-110
87,Sleep Recovery Tea,Better Sleep,"stress-related sleep problems, nighttime anxiety, shallow sleep, waking up tired, difficulty maintaining deep sleep",All,"Natural sleep support, Relaxation, Improve sleep recovery, Calm bedtime routine",18-70,40-100
88,Stress Control Magnesium,Stress Relief,"muscle tension caused by stress, nervous fatigue, emotional instability, poor stress tolerance, difficulty relaxing after work",All,"Reduce tension, Calm nervous system, Stress relief, Muscle relaxation",18-70,40-110
89,Complete Nutrition Protein,Dietary Supplements,"low protein intake, fatigue after exercise, poor muscle recovery, weak physical performance, lack of balanced nutrition",All,"Protein supplementation, Muscle recovery, Daily nutrition support, Increase energy",18-55,50-130
90,Finger Pulse Oximeter,Medical Devices,"low oxygen monitoring needs, respiratory condition tracking, sports oxygen monitoring, home healthcare support, breathing awareness",All,"Monitor oxygen levels, Respiratory health awareness, Daily wellness tracking",12-90,20-120

